itemId,title,genres
1,The Hunger Games,Young Adult|Fiction|Science Fiction|Dystopia|Fantasy|Science Fiction
2,Harry Potter and the Philosopher's Stone,
3,Twilight,Young Adult|Fantasy|Romance|Paranormal|Vampires|Fiction|Fantasy|Paranormal
4,To Kill a Mockingbird,Classics|Fiction|Historical|Historical Fiction|Academic|School
5,The Great Gatsby,Classics|Fiction|Academic|School|Literature|Historical|Historical Fiction|Romance|Novels|Academic|Read For School|Young Adult|High School|Literature|American
6,The Fault in Our Stars,Young Adult|Fiction|Romance|Contemporary
7,The Hobbit or There and Back Again,Fantasy|Classics|Fiction|Adventure|Young Adult|Science Fiction Fantasy|Fantasy|High Fantasy|Childrens|Fantasy|Epic Fantasy|Novels
8,The Catcher in the Rye,Classics|Fiction|Young Adult|Literature
9,Angels & Demons ,
10,Pride and Prejudice,Classics|Fiction|Romance
11,The Kite Runner ,
12,Divergent,Young Adult|Science Fiction|Dystopia|Fiction|Fantasy
13,Nineteen Eighty-Four,
14,Animal Farm: A Fairy Story,
15,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,
16,Män som hatar kvinnor,
17,Catching Fire,Young Adult|Science Fiction|Dystopia|Fiction|Fantasy|Science Fiction
18,Harry Potter and the Prisoner of Azkaban,
19, The Fellowship of the Ring,
20,Mockingjay,Young Adult|Science Fiction|Dystopia|Fiction|Fantasy|Science Fiction
21,Harry Potter and the Order of the Phoenix,
22,The Lovely Bones,Fiction|Mystery|Young Adult|Contemporary
23,Harry Potter and the Chamber of Secrets,
24,Harry Potter and the Goblet of Fire,
25,Harry Potter and the Deathly Hallows,
26,The Da Vinci Code,Fiction|Mystery|Thriller
27,Harry Potter and the Half-Blood Prince,
28,Lord of the Flies ,
29,An Excellent conceited Tragedie of Romeo and Juliet,
30,Gone Girl,Fiction|Mystery|Thriller|Mystery|Crime
31,The Help,Fiction|Historical|Historical Fiction|Historical|Adult
32,Of Mice and Men ,
33,Memoirs of a Geisha,Fiction|Historical|Historical Fiction|Romance|Historical
34,Fifty Shades of Grey,Romance|Fiction|Adult Fiction|Erotica|Adult|Erotica|Bdsm
35,O Alquimista,
36,The Giver,Young Adult|Fiction|Classics|Science Fiction|Dystopia|Science Fiction
37,"The Lion, the Witch and the Wardrobe",Fantasy|Classics|Fiction|Young Adult|Childrens
38,The Time Traveler's Wife,Fiction|Romance|Fantasy|Science Fiction|Time Travel|Science Fiction
39,A Game of Thrones,Fantasy|Fiction|Fantasy|Epic Fantasy
40,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",
41,The Lightning Thief,Fantasy|Young Adult|Fantasy|Mythology|Fiction
42,Little Women,Classics|Fiction|Historical|Historical Fiction|Young Adult
43,Jane Eyre,
44,The Notebook,Romance|Fiction|Womens Fiction|Chick Lit|Contemporary
45,Life of Pi,Fiction|Fantasy|Classics|Adventure
46,Water for Elephants,Fiction|Historical|Historical Fiction|Romance|Historical
47,The Book Thief,Historical|Historical Fiction|Fiction|Young Adult
49,"New Moon (Twilight, #2)",
50,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,
51,City of Bones,Fantasy|Young Adult|Fantasy|Paranormal|Romance
52,Eclipse,Young Adult|Fantasy|Romance|Paranormal|Vampires|Fiction
53,Eragon,Fantasy|Young Adult|Fiction|Fantasy|Dragons
54,The Hitchhiker's Guide to the Galaxy,Science Fiction|Fiction|Humor|Fantasy|Classics
