trainingLoss, validationLoss
4.7077, 1.2730
1.3371, 1.1244
1.2139, 1.0538
1.1259, 1.0058
1.0716, 0.9707
1.0242, 0.9468
0.9922, 0.9283
0.9645, 0.9134
0.9340, 0.8963
0.9137, 0.8861
0.8934, 0.8801
0.8814, 0.8750
0.8657, 0.8633
0.8529, 0.8568
0.8425, 0.8572
0.8348, 0.8517
0.8243, 0.8481
0.8116, 0.8448
0.8049, 0.8411
0.7965, 0.8401
0.7860, 0.8373
0.7774, 0.8351
0.7706, 0.8331
0.7656, 0.8322
0.7607, 0.8308
0.7548, 0.8286
0.7464, 0.8290
0.7429, 0.8279
0.7355, 0.8281
0.7300, 0.8273
0.7236, 0.8266
0.7205, 0.8259
0.7126, 0.8257
0.7105, 0.8254
0.7061, 0.8261
0.6994, 0.8257
0.6956, 0.8267
0.6887, 0.8262
0.6847, 0.8255
Training time: 155.95 seconds
