trainingLoss, validationLoss
4.2517, 1.2760
1.3272, 1.0973
1.1938, 1.0185
1.1126, 0.9716
1.0502, 0.9413
1.0125, 0.9182
0.9812, 0.9011
0.9568, 0.8888
0.9337, 0.8760
0.9126, 0.8661
0.8993, 0.8590
0.8826, 0.8519
0.8668, 0.8427
0.8561, 0.8395
0.8436, 0.8354
0.8291, 0.8285
0.8172, 0.8229
0.8094, 0.8204
0.8005, 0.8197
0.7873, 0.8157
0.7750, 0.8130
0.7675, 0.8118
0.7579, 0.8078
0.7503, 0.8046
0.7425, 0.8060
0.7331, 0.8044
0.7279, 0.8044
0.7174, 0.8005
0.7098, 0.8004
0.7027, 0.8015
0.6966, 0.7987
0.6887, 0.7994
0.6820, 0.8004
0.6762, 0.7997
0.6698, 0.7987
0.6647, 0.8004
0.6615, 0.7985
0.6536, 0.8013
0.6487, 0.8008
0.6463, 0.7995
0.6401, 0.7999
0.6360, 0.8025
Training time: 161.76 seconds
