trainLoss: 8.6316, valLoss: 4.9421
trainLoss: 2.9672, valLoss: 1.7827
trainLoss: 1.5475, valLoss: 1.3158
trainLoss: 1.3197, valLoss: 1.1994
trainLoss: 1.2345, valLoss: 1.1398
trainLoss: 1.1864, valLoss: 1.0989
trainLoss: 1.1445, valLoss: 1.0643
trainLoss: 1.1080, valLoss: 1.0366
trainLoss: 1.0829, valLoss: 1.0129
trainLoss: 1.0583, valLoss: 0.9936
trainLoss: 1.0334, valLoss: 0.9770
trainLoss: 1.0192, valLoss: 0.9616
trainLoss: 1.0007, valLoss: 0.9500
trainLoss: 0.9814, valLoss: 0.9380
trainLoss: 0.9722, valLoss: 0.9287
trainLoss: 0.9573, valLoss: 0.9198
trainLoss: 0.9471, valLoss: 0.9114
trainLoss: 0.9386, valLoss: 0.9049
trainLoss: 0.9294, valLoss: 0.8991
trainLoss: 0.9187, valLoss: 0.8945
trainLoss: 0.9112, valLoss: 0.8908
trainLoss: 0.9016, valLoss: 0.8839
trainLoss: 0.8967, valLoss: 0.8811
trainLoss: 0.8868, valLoss: 0.8777
trainLoss: 0.8817, valLoss: 0.8739
trainLoss: 0.8767, valLoss: 0.8701
trainLoss: 0.8685, valLoss: 0.8675
trainLoss: 0.8642, valLoss: 0.8655
trainLoss: 0.8602, valLoss: 0.8622
trainLoss: 0.8527, valLoss: 0.8609
trainLoss: 0.8516, valLoss: 0.8586
trainLoss: 0.8441, valLoss: 0.8573
trainLoss: 0.8396, valLoss: 0.8554
trainLoss: 0.8352, valLoss: 0.8532
trainLoss: 0.8300, valLoss: 0.8512
trainLoss: 0.8237, valLoss: 0.8495
trainLoss: 0.8186, valLoss: 0.8490
trainLoss: 0.8182, valLoss: 0.8486
trainLoss: 0.8115, valLoss: 0.8458
trainLoss: 0.8079, valLoss: 0.8450
trainLoss: 0.8008, valLoss: 0.8430
trainLoss: 0.8009, valLoss: 0.8431
trainLoss: 0.7992, valLoss: 0.8422
trainLoss: 0.7975, valLoss: 0.8410
trainLoss: 0.7917, valLoss: 0.8386
trainLoss: 0.7876, valLoss: 0.8396
trainLoss: 0.7818, valLoss: 0.8375
trainLoss: 0.7808, valLoss: 0.8375
trainLoss: 0.7757, valLoss: 0.8375
trainLoss: 0.7712, valLoss: 0.8345
trainLoss: 0.7694, valLoss: 0.8345
trainLoss: 0.7663, valLoss: 0.8333
trainLoss: 0.7652, valLoss: 0.8375
trainLoss: 0.7592, valLoss: 0.8327
trainLoss: 0.7559, valLoss: 0.8329
trainLoss: 0.7549, valLoss: 0.8317
trainLoss: 0.7495, valLoss: 0.8303
trainLoss: 0.7480, valLoss: 0.8289
trainLoss: 0.7437, valLoss: 0.8301
trainLoss: 0.7412, valLoss: 0.8291
trainLoss: 0.7402, valLoss: 0.8287
trainLoss: 0.7389, valLoss: 0.8264
trainLoss: 0.7340, valLoss: 0.8274
trainLoss: 0.7315, valLoss: 0.8276
trainLoss: 0.7248, valLoss: 0.8261
trainLoss: 0.7255, valLoss: 0.8260
trainLoss: 0.7241, valLoss: 0.8262
trainLoss: 0.7187, valLoss: 0.8240
trainLoss: 0.7163, valLoss: 0.8253
trainLoss: 0.7138, valLoss: 0.8256
trainLoss: 0.7112, valLoss: 0.8244
trainLoss: 0.7129, valLoss: 0.8250
trainLoss: 0.7073, valLoss: 0.8249
Training time: 66.83 seconds
