trainLoss: 4.9871, valLoss: 1.2076
trainLoss: 1.2455, valLoss: 1.1105
trainLoss: 1.1775, valLoss: 1.0635
trainLoss: 1.1304, valLoss: 1.0264
trainLoss: 1.0896, valLoss: 0.9965
trainLoss: 1.0569, valLoss: 0.9743
trainLoss: 1.0324, valLoss: 0.9564
trainLoss: 1.0086, valLoss: 0.9403
trainLoss: 0.9928, valLoss: 0.9281
trainLoss: 0.9750, valLoss: 0.9199
trainLoss: 0.9596, valLoss: 0.9107
trainLoss: 0.9481, valLoss: 0.9006
trainLoss: 0.9389, valLoss: 0.8977
trainLoss: 0.9251, valLoss: 0.8874
trainLoss: 0.9169, valLoss: 0.8827
trainLoss: 0.9068, valLoss: 0.8785
trainLoss: 0.8993, valLoss: 0.8728
trainLoss: 0.8889, valLoss: 0.8721
trainLoss: 0.8870, valLoss: 0.8692
trainLoss: 0.8798, valLoss: 0.8630
trainLoss: 0.8688, valLoss: 0.8618
trainLoss: 0.8644, valLoss: 0.8593
trainLoss: 0.8582, valLoss: 0.8562
trainLoss: 0.8527, valLoss: 0.8533
trainLoss: 0.8491, valLoss: 0.8520
trainLoss: 0.8419, valLoss: 0.8505
trainLoss: 0.8389, valLoss: 0.8479
trainLoss: 0.8336, valLoss: 0.8504
trainLoss: 0.8266, valLoss: 0.8451
trainLoss: 0.8264, valLoss: 0.8445
trainLoss: 0.8206, valLoss: 0.8455
trainLoss: 0.8162, valLoss: 0.8420
trainLoss: 0.8086, valLoss: 0.8427
trainLoss: 0.8043, valLoss: 0.8424
trainLoss: 0.8018, valLoss: 0.8408
trainLoss: 0.8016, valLoss: 0.8408
trainLoss: 0.7939, valLoss: 0.8379
trainLoss: 0.7893, valLoss: 0.8393
trainLoss: 0.7846, valLoss: 0.8384
trainLoss: 0.7845, valLoss: 0.8374
trainLoss: 0.7816, valLoss: 0.8382
trainLoss: 0.7785, valLoss: 0.8357
trainLoss: 0.7721, valLoss: 0.8359
trainLoss: 0.7659, valLoss: 0.8368
trainLoss: 0.7657, valLoss: 0.8351
trainLoss: 0.7573, valLoss: 0.8342
trainLoss: 0.7539, valLoss: 0.8362
trainLoss: 0.7515, valLoss: 0.8365
trainLoss: 0.7475, valLoss: 0.8349
trainLoss: 0.7451, valLoss: 0.8358
trainLoss: 0.7420, valLoss: 0.8357
Training time: 56.27 seconds
