trainLoss: 3.8232, valLoss: 1.1046
trainLoss: 1.1902, valLoss: 1.0202
trainLoss: 1.1237, valLoss: 0.9781
trainLoss: 1.0796, valLoss: 0.9514
trainLoss: 1.0375, valLoss: 0.9291
trainLoss: 1.0083, valLoss: 0.9152
trainLoss: 0.9906, valLoss: 0.9059
trainLoss: 0.9712, valLoss: 0.8972
trainLoss: 0.9595, valLoss: 0.8872
trainLoss: 0.9452, valLoss: 0.8819
trainLoss: 0.9332, valLoss: 0.8771
trainLoss: 0.9220, valLoss: 0.8775
trainLoss: 0.9171, valLoss: 0.8746
trainLoss: 0.9070, valLoss: 0.8671
trainLoss: 0.8954, valLoss: 0.8644
trainLoss: 0.8888, valLoss: 0.8614
trainLoss: 0.8804, valLoss: 0.8638
trainLoss: 0.8743, valLoss: 0.8581
trainLoss: 0.8690, valLoss: 0.8590
trainLoss: 0.8599, valLoss: 0.8567
trainLoss: 0.8563, valLoss: 0.8614
trainLoss: 0.8497, valLoss: 0.8552
trainLoss: 0.8420, valLoss: 0.8535
trainLoss: 0.8332, valLoss: 0.8560
trainLoss: 0.8286, valLoss: 0.8544
trainLoss: 0.8280, valLoss: 0.8524
trainLoss: 0.8216, valLoss: 0.8523
trainLoss: 0.8127, valLoss: 0.8538
trainLoss: 0.8054, valLoss: 0.8520
trainLoss: 0.7998, valLoss: 0.8532
trainLoss: 0.8020, valLoss: 0.8481
trainLoss: 0.7915, valLoss: 0.8498
trainLoss: 0.7857, valLoss: 0.8482
trainLoss: 0.7823, valLoss: 0.8482
trainLoss: 0.7746, valLoss: 0.8474
trainLoss: 0.7682, valLoss: 0.8474
trainLoss: 0.7633, valLoss: 0.8562
trainLoss: 0.7627, valLoss: 0.8474
trainLoss: 0.7492, valLoss: 0.8491
trainLoss: 0.7481, valLoss: 0.8469
trainLoss: 0.7401, valLoss: 0.8586
trainLoss: 0.7335, valLoss: 0.8483
trainLoss: 0.7262, valLoss: 0.8503
trainLoss: 0.7229, valLoss: 0.8501
trainLoss: 0.7177, valLoss: 0.8480
Training time: 34.46 seconds
