trainingLoss, validationLoss
1.1952, 0.8623
0.8656, 0.8307
0.8332, 0.8170
0.8171, 0.8083
0.8060, 0.8007
0.7943, 0.7897
0.7840, 0.7845
0.7767, 0.7837
0.7694, 0.7790
0.7625, 0.7785
0.7538, 0.7756
0.7459, 0.7691
0.7382, 0.7682
0.7313, 0.7661
0.7242, 0.7627
0.7177, 0.7604
0.7123, 0.7585
0.7063, 0.7583
0.7012, 0.7575
0.6968, 0.7549
0.6928, 0.7543
0.6885, 0.7540
0.6847, 0.7533
0.6814, 0.7538
0.6784, 0.7527
0.6755, 0.7530
0.6734, 0.7528
0.6699, 0.7510
0.6682, 0.7531
0.6666, 0.7526
0.6643, 0.7551
0.6623, 0.7546
0.6611, 0.7530
Training time: 1291.41 seconds
