trainLoss: 2.8648, valLoss: 1.2138
trainLoss: 1.2240, valLoss: 1.0555
trainLoss: 1.0944, valLoss: 0.9764
trainLoss: 1.0228, valLoss: 0.9314
trainLoss: 0.9773, valLoss: 0.9003
trainLoss: 0.9447, valLoss: 0.8791
trainLoss: 0.9211, valLoss: 0.8657
trainLoss: 0.9015, valLoss: 0.8548
trainLoss: 0.8880, valLoss: 0.8465
trainLoss: 0.8759, valLoss: 0.8407
trainLoss: 0.8668, valLoss: 0.8364
trainLoss: 0.8584, valLoss: 0.8329
trainLoss: 0.8512, valLoss: 0.8303
trainLoss: 0.8458, valLoss: 0.8280
trainLoss: 0.8404, valLoss: 0.8264
trainLoss: 0.8362, valLoss: 0.8245
trainLoss: 0.8320, valLoss: 0.8233
trainLoss: 0.8286, valLoss: 0.8220
trainLoss: 0.8255, valLoss: 0.8212
trainLoss: 0.8223, valLoss: 0.8200
trainLoss: 0.8203, valLoss: 0.8196
trainLoss: 0.8167, valLoss: 0.8182
trainLoss: 0.8148, valLoss: 0.8177
trainLoss: 0.8126, valLoss: 0.8169
trainLoss: 0.8094, valLoss: 0.8161
trainLoss: 0.8073, valLoss: 0.8147
trainLoss: 0.8046, valLoss: 0.8140
trainLoss: 0.8024, valLoss: 0.8126
trainLoss: 0.7998, valLoss: 0.8114
trainLoss: 0.7972, valLoss: 0.8108
trainLoss: 0.7940, valLoss: 0.8088
trainLoss: 0.7914, valLoss: 0.8080
trainLoss: 0.7885, valLoss: 0.8065
trainLoss: 0.7857, valLoss: 0.8053
trainLoss: 0.7829, valLoss: 0.8044
trainLoss: 0.7797, valLoss: 0.8029
trainLoss: 0.7772, valLoss: 0.8014
trainLoss: 0.7744, valLoss: 0.8001
trainLoss: 0.7712, valLoss: 0.7992
trainLoss: 0.7687, valLoss: 0.7974
trainLoss: 0.7653, valLoss: 0.7961
trainLoss: 0.7632, valLoss: 0.7950
trainLoss: 0.7600, valLoss: 0.7934
trainLoss: 0.7567, valLoss: 0.7917
trainLoss: 0.7540, valLoss: 0.7911
trainLoss: 0.7508, valLoss: 0.7895
trainLoss: 0.7485, valLoss: 0.7881
trainLoss: 0.7456, valLoss: 0.7872
trainLoss: 0.7425, valLoss: 0.7866
trainLoss: 0.7399, valLoss: 0.7857
trainLoss: 0.7378, valLoss: 0.7853
trainLoss: 0.7351, valLoss: 0.7854
trainLoss: 0.7329, valLoss: 0.7849
trainLoss: 0.7306, valLoss: 0.7839
trainLoss: 0.7284, valLoss: 0.7840
trainLoss: 0.7256, valLoss: 0.7845
trainLoss: 0.7234, valLoss: 0.7838
trainLoss: 0.7212, valLoss: 0.7841
trainLoss: 0.7183, valLoss: 0.7843
trainLoss: 0.7167, valLoss: 0.7846
trainLoss: 0.7146, valLoss: 0.7849
trainLoss: 0.7119, valLoss: 0.7849
Training time: 415.03 seconds
