trainLoss: 1.5793, valLoss: 1.0934
trainLoss: 1.1018, valLoss: 0.9873
trainLoss: 1.0189, valLoss: 0.9322
trainLoss: 0.9719, valLoss: 0.9028
trainLoss: 0.9375, valLoss: 0.8788
trainLoss: 0.9135, valLoss: 0.8643
trainLoss: 0.8975, valLoss: 0.8546
trainLoss: 0.8842, valLoss: 0.8469
trainLoss: 0.8733, valLoss: 0.8404
trainLoss: 0.8633, valLoss: 0.8363
trainLoss: 0.8554, valLoss: 0.8326
trainLoss: 0.8480, valLoss: 0.8299
trainLoss: 0.8417, valLoss: 0.8272
trainLoss: 0.8365, valLoss: 0.8245
trainLoss: 0.8317, valLoss: 0.8245
trainLoss: 0.8266, valLoss: 0.8208
trainLoss: 0.8223, valLoss: 0.8202
trainLoss: 0.8182, valLoss: 0.8184
trainLoss: 0.8140, valLoss: 0.8174
trainLoss: 0.8107, valLoss: 0.8158
trainLoss: 0.8070, valLoss: 0.8148
trainLoss: 0.8045, valLoss: 0.8137
trainLoss: 0.8014, valLoss: 0.8125
trainLoss: 0.7983, valLoss: 0.8117
trainLoss: 0.7954, valLoss: 0.8112
trainLoss: 0.7930, valLoss: 0.8097
trainLoss: 0.7902, valLoss: 0.8109
trainLoss: 0.7877, valLoss: 0.8100
trainLoss: 0.7851, valLoss: 0.8089
trainLoss: 0.7832, valLoss: 0.8082
trainLoss: 0.7805, valLoss: 0.8080
trainLoss: 0.7782, valLoss: 0.8088
trainLoss: 0.7759, valLoss: 0.8073
trainLoss: 0.7743, valLoss: 0.8073
trainLoss: 0.7717, valLoss: 0.8068
trainLoss: 0.7696, valLoss: 0.8078
trainLoss: 0.7674, valLoss: 0.8066
trainLoss: 0.7652, valLoss: 0.8068
trainLoss: 0.7629, valLoss: 0.8072
trainLoss: 0.7608, valLoss: 0.8068
trainLoss: 0.7583, valLoss: 0.8067
trainLoss: 0.7560, valLoss: 0.8070
Training time: 296.63 seconds
