trainingLoss, validationLoss
7.3336, 2.0077
1.5808, 1.2103
1.3032, 1.1207
1.2076, 1.0617
1.1364, 1.0187
1.0894, 0.9915
1.0461, 0.9607
1.0018, 0.9410
0.9761, 0.9242
0.9516, 0.9138
0.9252, 0.9041
0.9127, 0.8933
0.8926, 0.8873
0.8763, 0.8812
0.8634, 0.8753
0.8483, 0.8710
0.8379, 0.8665
0.8279, 0.8626
0.8164, 0.8581
0.8035, 0.8566
0.7979, 0.8540
0.7891, 0.8524
0.7819, 0.8496
0.7766, 0.8472
0.7677, 0.8463
0.7577, 0.8432
0.7507, 0.8434
0.7440, 0.8415
0.7377, 0.8395
0.7294, 0.8374
0.7253, 0.8388
0.7203, 0.8363
0.7119, 0.8359
0.7074, 0.8360
0.7013, 0.8356
0.7000, 0.8364
0.6916, 0.8344
0.6856, 0.8351
0.6805, 0.8344
0.6711, 0.8340
0.6683, 0.8359
0.6644, 0.8339
0.6623, 0.8361
0.6545, 0.8370
0.6494, 0.8371
0.6468, 0.8363
0.6418, 0.8365
Training time: 117.85 seconds
