trainingLoss, validationLoss
6.9463, 1.8019
1.5112, 1.1994
1.3192, 1.1255
1.2424, 1.0724
1.1823, 1.0306
1.1319, 0.9991
1.0918, 0.9751
1.0522, 0.9532
1.0299, 0.9346
1.0010, 0.9209
0.9817, 0.9101
0.9599, 0.9001
0.9405, 0.8893
0.9290, 0.8815
0.9181, 0.8749
0.9030, 0.8677
0.8904, 0.8641
0.8755, 0.8609
0.8709, 0.8564
0.8602, 0.8543
0.8531, 0.8482
0.8461, 0.8457
0.8351, 0.8453
0.8292, 0.8397
0.8209, 0.8403
0.8180, 0.8381
0.8120, 0.8369
0.8054, 0.8337
0.7987, 0.8324
0.7919, 0.8309
0.7861, 0.8296
0.7835, 0.8291
0.7790, 0.8285
0.7721, 0.8275
0.7647, 0.8254
0.7632, 0.8251
0.7576, 0.8258
0.7535, 0.8249
0.7517, 0.8259
0.7441, 0.8239
0.7390, 0.8236
0.7359, 0.8226
0.7342, 0.8229
0.7294, 0.8240
0.7246, 0.8225
0.7211, 0.8243
0.7167, 0.8239
0.7159, 0.8230
0.7106, 0.8234
0.7034, 0.8219
0.7021, 0.8235
0.6969, 0.8235
0.6914, 0.8228
0.6929, 0.8243
0.6859, 0.8244
Training time: 126.06 seconds
