trainingLoss, validationLoss
6.2740, 1.9261
1.6163, 1.2118
1.2929, 1.0837
1.1878, 1.0208
1.1258, 0.9849
1.0759, 0.9537
1.0392, 0.9327
1.0133, 0.9168
0.9833, 0.9012
0.9619, 0.8903
0.9442, 0.8794
0.9210, 0.8745
0.9004, 0.8625
0.8850, 0.8569
0.8678, 0.8523
0.8536, 0.8458
0.8438, 0.8403
0.8297, 0.8392
0.8159, 0.8406
0.8004, 0.8352
0.7916, 0.8275
0.7802, 0.8267
0.7676, 0.8240
0.7588, 0.8216
0.7475, 0.8179
0.7402, 0.8178
0.7273, 0.8163
0.7191, 0.8171
0.7144, 0.8145
0.7042, 0.8121
0.6949, 0.8146
0.6894, 0.8128
0.6828, 0.8119
0.6761, 0.8108
0.6676, 0.8137
0.6593, 0.8121
0.6575, 0.8139
0.6496, 0.8129
0.6439, 0.8137
Training time: 95.70 seconds
