trainingLoss, validationLoss
2.0800, 1.0793
1.1131, 0.9505
0.9944, 0.8867
0.9314, 0.8593
0.8921, 0.8434
0.8675, 0.8335
0.8505, 0.8276
0.8389, 0.8231
0.8292, 0.8190
0.8208, 0.8159
0.8142, 0.8114
0.8077, 0.8082
0.8033, 0.8064
0.7991, 0.8032
0.7956, 0.8010
0.7924, 0.7993
0.7900, 0.7982
0.7871, 0.7967
0.7856, 0.7954
0.7826, 0.7938
0.7803, 0.7929
0.7776, 0.7908
0.7750, 0.7888
0.7716, 0.7872
0.7684, 0.7864
0.7648, 0.7845
0.7617, 0.7840
0.7579, 0.7827
0.7543, 0.7812
0.7512, 0.7805
0.7473, 0.7802
0.7442, 0.7791
0.7406, 0.7794
0.7372, 0.7788
0.7340, 0.7782
0.7303, 0.7775
0.7264, 0.7766
0.7236, 0.7774
0.7199, 0.7764
0.7167, 0.7765
0.7131, 0.7753
0.7101, 0.7749
0.7070, 0.7749
0.7040, 0.7737
0.7014, 0.7741
0.6978, 0.7735
0.6947, 0.7739
0.6918, 0.7737
0.6896, 0.7730
0.6868, 0.7733
0.6839, 0.7733
0.6807, 0.7724
0.6786, 0.7732
0.6761, 0.7731
0.6735, 0.7727
0.6714, 0.7729
0.6689, 0.7725
Training time: 1554.70 seconds
